from,to,type,price,Pickup-time,Drop-off-time
Vajarahalli,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,752.33",2023-10-22 23:04:01.768587,0:28
Vajarahalli,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹2,941.96",2023-10-22 23:04:01.768587,0:28
Vajarahalli,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,547.23",2023-10-22 23:04:01.769584,0:27
Electronic City,Kempegowda International Airport Bengaluru,Uber GoPerson4,"₹1,324.99",2023-10-22 23:04:23.197635,0:15
Electronic City,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,603.22",2023-10-22 23:04:23.197635,0:15
Electronic City,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹2,678.84",2023-10-22 23:04:23.198635,0:15
Electronic City,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,417.74",2023-10-22 23:04:23.198635,0:15
Nagarabhavi,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹972.39,2023-10-22 23:04:44.342636,23:58
Nagarabhavi,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,179.41",2023-10-22 23:04:44.342636,23:59
Nagarabhavi,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,979.76",2023-10-22 23:04:44.343638,0:01
Nagarabhavi,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,041.40",2023-10-22 23:04:44.343638,23:58
Kalyan Nagar,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹718.50,2023-10-22 23:05:05.585841,23:41
Kalyan Nagar,Kempegowda International Airport Bengaluru,PremierPerson4,₹863.09,2023-10-22 23:05:05.585841,23:42
Kalyan Nagar,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,421.95",2023-10-22 23:05:05.586839,23:43
Kalyan Nagar,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹766.69,2023-10-22 23:05:05.587839,23:41
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",UberGoPerson4,"₹1,184.32",2023-10-22 23:20:25.799835,0:26
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",PremierPerson4,"₹1,426.87",2023-10-22 23:20:25.799835,0:24
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",UberXLPerson6,"₹2,067.28",2023-10-22 23:20:25.799835,0:26
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",Go SedanPerson4,"₹1,342.91",2023-10-22 23:20:25.800835,0:24
Kempegowda International Airport Bengaluru,Koramangala,UberGoPerson4,"₹1,112.47",2023-10-22 23:20:44.828547,0:21
Kempegowda International Airport Bengaluru,Koramangala,PremierPerson4,"₹1,336.81",2023-10-22 23:20:44.829547,0:19
Kempegowda International Airport Bengaluru,Koramangala,UberXLPerson6,"₹1,922.20",2023-10-22 23:20:44.829547,0:23
Kempegowda International Airport Bengaluru,Koramangala,Go SedanPerson4,"₹1,257.92",2023-10-22 23:20:44.829547,0:19
Kempegowda International Airport Bengaluru,Indiranagar,UberGoPerson4,"₹1,044.69",2023-10-22 23:21:04.474157,0:14
Kempegowda International Airport Bengaluru,Indiranagar,PremierPerson4,"₹1,251.85",2023-10-22 23:21:04.475151,0:13
Kempegowda International Airport Bengaluru,Indiranagar,UberXLPerson6,"₹1,785.33",2023-10-22 23:21:04.475151,0:16
Kempegowda International Airport Bengaluru,Indiranagar,Go SedanPerson4,"₹1,177.72",2023-10-22 23:21:04.475151,0:13
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,UberGoPerson4,₹974.40,2023-10-22 23:21:24.069458,0:05
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,PremierPerson4,"₹1,163.75",2023-10-22 23:21:24.070458,0:03
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,UberXLPerson6,"₹1,643.39",2023-10-22 23:21:24.070458,0:07
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,Go SedanPerson4,"₹1,094.57",2023-10-22 23:21:24.070458,0:03
Kempegowda International Airport Bengaluru,Yelahanka,UberGoPerson4,₹672.03,2023-10-22 23:21:44.253760,23:48
Kempegowda International Airport Bengaluru,Yelahanka,PremierPerson4,₹784.72,2023-10-22 23:21:44.253760,23:46
Kempegowda International Airport Bengaluru,Yelahanka,UberXLPerson6,"₹1,032.80",2023-10-22 23:21:44.254758,23:50
Kempegowda International Airport Bengaluru,Yelahanka,Go SedanPerson4,₹736.83,2023-10-22 23:21:44.254758,23:46
