from,to,type,price,Pickup-time,Drop-off-time
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,PremierPerson4,₹841.72,2023-10-22 12:35:46.224976,13:17
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,383.57",2023-10-22 12:35:46.224976,13:17
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹748.14,2023-10-22 12:35:46.225977,13:16
Yelahanka,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹432.30,2023-10-22 12:36:07.186927,12:56
Yelahanka,Kempegowda International Airport Bengaluru,PremierPerson4,₹506.50,2023-10-22 12:36:07.187868,12:57
Yelahanka,Kempegowda International Airport Bengaluru,UberXLPerson6,₹792.72,2023-10-22 12:36:07.187868,12:58
Yelahanka,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹457.02,2023-10-22 12:36:07.188867,12:56
Whitefield,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹681.19,2023-10-22 12:36:28.121274,13:49
Whitefield,Kempegowda International Airport Bengaluru,PremierPerson4,₹845.00,2023-10-22 12:36:28.122532,13:49
Whitefield,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,477.50",2023-10-22 12:36:28.123524,13:50
Whitefield,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹735.79,2023-10-22 12:36:28.123524,13:48
Vajarahalli,Kempegowda International Airport Bengaluru,Uber GoPerson4,"₹1,587.83",2023-10-22 12:36:48.614332,14:10
Vajarahalli,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,898.43",2023-10-22 12:36:48.615300,14:10
Vajarahalli,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹3,098.26",2023-10-22 12:36:48.615300,14:12
Vajarahalli,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,691.36",2023-10-22 12:36:48.615300,14:11
Electronic City,Kempegowda International Airport Bengaluru,Uber GoPerson4,"₹1,587.72",2023-10-22 12:37:10.184022,14:15
Electronic City,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,930.57",2023-10-22 12:37:10.185547,14:15
Electronic City,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹3,256.17",2023-10-22 12:37:10.185547,14:14
Electronic City,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,701.99",2023-10-22 12:37:10.185547,14:15
Nagarabhavi,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹835.72,2023-10-22 12:37:30.777915,13:38
Nagarabhavi,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,009.14",2023-10-22 12:37:30.777915,13:39
Nagarabhavi,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,679.58",2023-10-22 12:37:30.778926,13:41
Nagarabhavi,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹893.54,2023-10-22 12:37:30.778926,13:39
Kalyan Nagar,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹704.22,2023-10-22 12:37:51.911154,13:19
Kalyan Nagar,Kempegowda International Airport Bengaluru,PremierPerson4,₹845.31,2023-10-22 12:37:51.912153,13:19
Kalyan Nagar,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,390.59",2023-10-22 12:37:51.912153,13:19
Kalyan Nagar,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹751.24,2023-10-22 12:37:51.913153,13:19
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",UberGoPerson4,₹881.76,2023-10-22 12:53:11.000716,14:02
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",PremierPerson4,₹976.92,2023-10-22 12:53:11.000716,14:01
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",UberXLPerson6,"₹1,979.82",2023-10-22 12:53:11.001715,14:04
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",Go SedanPerson4,₹930.55,2023-10-22 12:53:11.001715,14:00
Kempegowda International Airport Bengaluru,Koramangala,UberGoPerson4,₹835.01,2023-10-22 12:53:28.364164,14:12
